shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3895935648438,-86.8386181794774,55,12252.55
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4062058273676,-86.838681211393,42,9623.4
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.393497,-86.848908,62,13421.8
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3983389078581,-86.8385538064572,52,11280.51
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4276635007658,-86.8823904921049,14,2405.52
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4179378102981,-86.8391090237563,39,8319.19
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4250081136828,-86.8472414819742,33,6912.58
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4209472489922,-86.8948560592446,1,167.72
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4205020022692,-86.8457689491373,36,7439.92
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.391039275589,-86.8429284896212,58,12719.17
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3963862595788,-86.8385108911104,53,11497.52
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4246258988753,-86.8868349127075,10,1457.86
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4276970283805,-86.8842224409713,13,2235.88
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4039742293342,-86.8344352742693,47,10299.78
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.42768227623,-86.8456455675152,30,6538.13
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320448894527,-86.8798772621082,17,3088.94
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.392557,-86.849441,64,13610.99
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4111370689355,-86.8389065169636,41,9075.11
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3941694136959,-86.8484444527891,60,13298.12
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4307359713755,-86.8450179305683,28,6186.72
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4280738787695,-86.8452486005574,29,6483.17
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320770759628,-86.8717005474389,20,3780.56
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.403042161646,-86.8365676305632,49,10586.13
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.430207576168,-86.8822121251948,15,2559.03
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3922006721616,-86.8501516789288,65,13683
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4214541865262,-86.8464998511374,35,7317.37
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4205180955242,-86.8435668554048,37,7626.22
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4152609655416,-86.8390285574811,40,8611.29
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4217465473263,-86.8867557875368,8,1136.83
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4266107336647,-86.8472629396476,32,6734.49
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3890933328327,-86.83875,56,12311.28
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4200969886838,-86.8867638341644,7,953.53
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4200031113626,-86.8943008419455,3,319.43
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4030502082736,-86.8343977233409,48,10402.51
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320784170674,-86.8450179305683,27,6037.55
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4200433445003,-86.8883369498454,6,828.05
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4207943630692,-86.839142551371,38,8001.76
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3929758306131,-86.848266085879,63,13501.2
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4063117746301,-86.8344728251978,44,9979.71
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4226732505961,-86.8867557875368,9,1239.81
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320730526491,-86.8568853650621,25,5033.73
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4200178635131,-86.8907039994421,5,626.66
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4200218868269,-86.8928752477691,4,440.05
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4231466605155,-86.8471864966861,34,7119.43
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320851225904,-86.8661725143297,22,4248.13
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4321119446821,-86.8476920931156,26,5811.33
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4054413977528,-86.8345613381005,45,10076.72
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320448894527,-86.8822912503655,16,2884.76
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4256585494076,-86.8868845335772,11,1782.29
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4008856654695,-86.8386074506407,51,10997.48
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320395250344,-86.8585174893449,24,4895.63
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320717115445,-86.8635627248027,23,4468.88
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3896498912364,-86.8400410914446,57,12430.11
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.391557,-86.849444,66,13776.29
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.404807055283,-86.8353968462584,46,10176.55
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3928806121874,-86.8464126793392,59,13074.34
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3937992688298,-86.8492477744369,61,13377.58
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4272088663107,-86.8470041064623,31,6664.51
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320596416032,-86.8741923197622,19,3569.79
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4030341150185,-86.8386074506407,50,10758.74
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4209405434692,-86.8942941364225,2,215.26
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320475716619,-86.8775973843096,18,3281.78
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4320730526491,-86.8691376965724,21,3997.33
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4276514308245,-86.8869649998525,12,2003.84
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.3924568231378,-86.8384800457048,54,11934.17
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4062071684722,-86.8380803965378,43,9674.24
00c5e391-09e1-4f67-89d3-a872bc45b5d5,40.4196825873663,-86.8959383306467,0,0
03090256-83db-4a18-8781-2c4c31e26e72,40.4607378220998,-86.9307171959112,4,831.37
03090256-83db-4a18-8781-2c4c31e26e72,40.45901,-86.937837,9,1848.37
03090256-83db-4a18-8781-2c4c31e26e72,40.4603690183383,-86.9331714173062,5,1042.87
